lag,zScoreThreshold,influence,bumpPressCount,correctBumpDetections,incorrectBumpDetections,potholePressCount,correctPotholeDetections,incorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,bumpFalsePositives,potholeFalsePositives,activeFilterThreshold,activeFilterPosCoef,activeFilterNegCoef
50, 10.000000, 0.250000, 21, 14, 7, 8, 0, 8, 66.666667, 0.000000, 2, 0, 0.100000, 1.500000, 0.900000
50, 10.000000, 0.250000, 21, 15, 6, 8, 3, 5, 71.428571, 37.500000, 14, 6, 0.100000, 1.600000, 0.100000
50, 10.000000, 0.250000, 21, 15, 6, 8, 3, 5, 71.428571, 37.500000, 9, 7, 0.100000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 15, 6, 8, 2, 6, 71.428571, 25.000000, 6, 5, 0.100000, 1.600000, 0.300000
50, 10.000000, 0.250000, 21, 17, 4, 8, 2, 6, 80.952381, 25.000000, 4, 1, 0.100000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 16, 5, 8, 1, 7, 76.190476, 12.500000, 4, 1, 0.100000, 1.600000, 0.500000
50, 10.000000, 0.250000, 21, 16, 5, 8, 1, 7, 76.190476, 12.500000, 3, 1, 0.100000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 15, 6, 8, 0, 8, 71.428571, 0.000000, 3, 0, 0.100000, 1.600000, 0.700000
50, 10.000000, 0.250000, 21, 15, 6, 8, 0, 8, 71.428571, 0.000000, 3, 0, 0.100000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 14, 7, 8, 0, 8, 66.666667, 0.000000, 2, 0, 0.100000, 1.600000, 0.900000
50, 10.000000, 0.250000, 21, 15, 6, 8, 3, 5, 71.428571, 37.500000, 13, 7, 0.100000, 1.700000, 0.100000
50, 10.000000, 0.250000, 21, 15, 6, 8, 3, 5, 71.428571, 37.500000, 9, 7, 0.100000, 1.700000, 0.200000
50, 10.000000, 0.250000, 21, 15, 6, 8, 2, 6, 71.428571, 25.000000, 7, 5, 0.100000, 1.700000, 0.300000
50, 10.000000, 0.250000, 21, 17, 4, 8, 2, 6, 80.952381, 25.000000, 4, 3, 0.100000, 1.700000, 0.400000
50, 10.000000, 0.250000, 21, 16, 5, 8, 2, 6, 76.190476, 25.000000, 4, 1, 0.100000, 1.700000, 0.500000
50, 10.000000, 0.250000, 21, 16, 5, 8, 1, 7, 76.190476, 12.500000, 3, 1, 0.100000, 1.700000, 0.600000
50, 10.000000, 0.250000, 21, 16, 5, 8, 0, 8, 76.190476, 0.000000, 3, 0, 0.100000, 1.700000, 0.700000
50, 10.000000, 0.250000, 21, 15, 6, 8, 0, 8, 71.428571, 0.000000, 3, 0, 0.100000, 1.700000, 0.800000
50, 10.000000, 0.250000, 21, 15, 6, 8, 0, 8, 71.428571, 0.000000, 3, 0, 0.100000, 1.700000, 0.900000
50, 10.000000, 0.250000, 21, 15, 6, 8, 3, 5, 71.428571, 37.500000, 14, 6, 0.100000, 1.800000, 0.100000
50, 10.000000, 0.250000, 21, 15, 6, 8, 3, 5, 71.428571, 37.500000, 9, 7, 0.100000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 15, 6, 8, 2, 6, 71.428571, 25.000000, 7, 5, 0.100000, 1.800000, 0.300000
50, 10.000000, 0.250000, 21, 16, 5, 8, 2, 6, 76.190476, 25.000000, 6, 3, 0.100000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 17, 4, 8, 2, 6, 80.952381, 25.000000, 4, 1, 0.100000, 1.800000, 0.500000
50, 10.000000, 0.250000, 21, 16, 5, 8, 1, 7, 76.190476, 12.500000, 4, 1, 0.100000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 16, 5, 8, 1, 7, 76.190476, 12.500000, 3, 1, 0.100000, 1.800000, 0.700000
50, 10.000000, 0.250000, 21, 15, 6, 8, 0, 8, 71.428571, 0.000000, 3, 0, 0.100000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 15, 6, 8, 0, 8, 71.428571, 0.000000, 3, 0, 0.100000, 1.800000, 0.900000
50, 10.000000, 0.250000, 21, 15, 6, 8, 3, 5, 71.428571, 37.500000, 14, 6, 0.100000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 15, 6, 8, 3, 5, 71.428571, 37.500000, 9, 8, 0.100000, 1.900000, 0.200000
50, 10.000000, 0.250000, 21, 14, 7, 8, 2, 6, 66.666667, 25.000000, 7, 6, 0.100000, 1.900000, 0.300000
50, 10.000000, 0.250000, 21, 15, 6, 8, 2, 6, 71.428571, 25.000000, 6, 4, 0.100000, 1.900000, 0.400000
50, 10.000000, 0.250000, 21, 17, 4, 8, 2, 6, 80.952381, 25.000000, 4, 1, 0.100000, 1.900000, 0.500000
50, 10.000000, 0.250000, 21, 16, 5, 8, 1, 7, 76.190476, 12.500000, 4, 1, 0.100000, 1.900000, 0.600000
50, 10.000000, 0.250000, 21, 16, 5, 8, 1, 7, 76.190476, 12.500000, 3, 1, 0.100000, 1.900000, 0.700000
50, 10.000000, 0.250000, 21, 16, 5, 8, 0, 8, 76.190476, 0.000000, 3, 0, 0.100000, 1.900000, 0.800000
50, 10.000000, 0.250000, 21, 15, 6, 8, 0, 8, 71.428571, 0.000000, 3, 0, 0.100000, 1.900000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.100000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.100000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.100000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.100000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.100000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.100000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.100000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.100000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.100000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.200000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.200000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.200000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.200000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.200000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.300000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.300000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.300000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.300000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.300000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.300000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.300000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.300000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.300000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.400000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.400000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.400000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.400000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.400000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.500000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.500000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.500000, 0.300000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.500000, 0.400000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.500000, 0.500000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.500000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.500000, 0.700000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.500000, 0.800000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.500000, 0.900000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.600000, 0.100000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 2, 0, 0.200000, 1.600000, 0.300000
