lag,zScoreThreshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,activeFilterThreshold,posCoef,negCoef,cutoffFreq
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 3.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 4.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 5.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 6.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 2.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 3.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 4.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 5.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 6.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 2.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 3.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 4.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 5.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 6.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 2.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 3.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 4.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 5.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.100000, 6.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 2.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 3.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 4.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 5.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 6.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 2.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 3.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 4.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 5.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 6.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 2.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 3.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 4.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 5.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 6.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 2.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 3.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 4.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 5.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 6.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 2.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 3.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 4.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 5.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 6.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 2.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 3.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 4.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 5.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.400000, 1.900000, 0.100000, 6.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 2.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 3.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 4.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 5.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 6.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 2.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 3.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 4.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 5.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 6.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 2.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 3.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 4.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 5.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 6.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 2.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 3.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 4.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 5.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 6.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 2.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 3.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 4.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 5.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 6.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 2.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 3.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 4.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 5.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 1.900000, 0.300000, 6.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 2.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 3.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 4.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 5.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 6.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 2.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 3.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 4.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 5.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 6.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 2.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 3.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 4.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 5.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 6.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 2.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 3.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 4.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 5.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 6.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 2.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 3.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 4.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 5.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 6.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 2.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 3.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 4.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 5.000000
50, 18.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 1.900000, 0.300000, 6.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 2.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 3.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 4.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 5.000000
50, 3.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 6.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 2.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 3.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 4.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 5.000000
50, 6.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 6.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 2.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 3.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 4.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 5.000000
50, 9.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 6.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 2.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 3.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 4.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 5.000000
50, 12.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 6.000000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.300000, 1.900000, 0.300000, 2.000000
