lag,zScoreThreshold,influence,bumpPressCount,correctBumpDetections,incorrectBumpDetections,potholePressCount,correctPotholeDetections,incorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,bumpFalsePositives,potholeFalsePositives,cutoffFreq,actFiltThres,actFilterPosCoef,actFiltNegCoef
50, 10.000000, 0.250000, 21, 3, 18, 8, 2, 6, 14.285714, 25.000000, 0, 9, 1.000000, 0.300000, 1.400000, 0.900000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 32, 1.000000, 0.300000, 1.500000, 0.100000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 32, 1.000000, 0.300000, 1.500000, 0.200000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 31, 1.000000, 0.300000, 1.500000, 0.300000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 29, 1.000000, 0.300000, 1.500000, 0.400000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, 0, 26, 1.000000, 0.300000, 1.500000, 0.500000
50, 10.000000, 0.250000, 21, 2, 19, 8, 4, 4, 9.523810, 50.000000, 0, 21, 1.000000, 0.300000, 1.500000, 0.600000
50, 10.000000, 0.250000, 21, 3, 18, 8, 4, 4, 14.285714, 50.000000, 0, 14, 1.000000, 0.300000, 1.500000, 0.700000
50, 10.000000, 0.250000, 21, 3, 18, 8, 2, 6, 14.285714, 25.000000, 0, 12, 1.000000, 0.300000, 1.500000, 0.800000
50, 10.000000, 0.250000, 21, 3, 18, 8, 2, 6, 14.285714, 25.000000, 0, 9, 1.000000, 0.300000, 1.500000, 0.900000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 32, 1.000000, 0.300000, 1.600000, 0.100000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 32, 1.000000, 0.300000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 31, 1.000000, 0.300000, 1.600000, 0.300000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 29, 1.000000, 0.300000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 28, 1.000000, 0.300000, 1.600000, 0.500000
50, 10.000000, 0.250000, 21, 2, 19, 8, 4, 4, 9.523810, 50.000000, 0, 25, 1.000000, 0.300000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 3, 18, 8, 4, 4, 14.285714, 50.000000, 0, 18, 1.000000, 0.300000, 1.600000, 0.700000
50, 10.000000, 0.250000, 21, 3, 18, 8, 4, 4, 14.285714, 50.000000, 0, 13, 1.000000, 0.300000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 3, 18, 8, 2, 6, 14.285714, 25.000000, 0, 11, 1.000000, 0.300000, 1.600000, 0.900000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 32, 1.000000, 0.300000, 1.700000, 0.100000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 32, 1.000000, 0.300000, 1.700000, 0.200000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 32, 1.000000, 0.300000, 1.700000, 0.300000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 30, 1.000000, 0.300000, 1.700000, 0.400000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 29, 1.000000, 0.300000, 1.700000, 0.500000
50, 10.000000, 0.250000, 21, 2, 19, 8, 4, 4, 9.523810, 50.000000, 0, 25, 1.000000, 0.300000, 1.700000, 0.600000
50, 10.000000, 0.250000, 21, 3, 18, 8, 4, 4, 14.285714, 50.000000, 0, 20, 1.000000, 0.300000, 1.700000, 0.700000
50, 10.000000, 0.250000, 21, 3, 18, 8, 4, 4, 14.285714, 50.000000, 0, 14, 1.000000, 0.300000, 1.700000, 0.800000
50, 10.000000, 0.250000, 21, 3, 18, 8, 2, 6, 14.285714, 25.000000, 0, 12, 1.000000, 0.300000, 1.700000, 0.900000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 32, 1.000000, 0.300000, 1.800000, 0.100000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 32, 1.000000, 0.300000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 32, 1.000000, 0.300000, 1.800000, 0.300000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 30, 1.000000, 0.300000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, -1, 29, 1.000000, 0.300000, 1.800000, 0.500000
50, 10.000000, 0.250000, 21, 2, 19, 8, 5, 3, 9.523810, 62.500000, 0, 26, 1.000000, 0.300000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 2, 19, 8, 4, 4, 9.523810, 50.000000, 0, 21, 1.000000, 0.300000, 1.800000, 0.700000
50, 10.000000, 0.250000, 21, 3, 18, 8, 4, 4, 14.285714, 50.000000, 0, 17, 1.000000, 0.300000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 3, 18, 8, 4, 4, 14.285714, 50.000000, 0, 13, 1.000000, 0.300000, 1.800000, 0.900000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.100000, 0.100000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 15, 1.000000, 0.400000, 1.100000, 0.200000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 14, 1.000000, 0.400000, 1.100000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 4, 4, 23.809524, 50.000000, 0, 10, 1.000000, 0.400000, 1.100000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 6, 1.000000, 0.400000, 1.100000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 4, 1.000000, 0.400000, 1.100000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 3, 1.000000, 0.400000, 1.100000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 1, 1.000000, 0.400000, 1.100000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 1, 1.000000, 0.400000, 1.100000, 0.900000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.200000, 0.100000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 16, 1.000000, 0.400000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 15, 1.000000, 0.400000, 1.200000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -1, 13, 1.000000, 0.400000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 9, 1.000000, 0.400000, 1.200000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 4, 1.000000, 0.400000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 4, 1.000000, 0.400000, 1.200000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 1, 1.000000, 0.400000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 1, 1.000000, 0.400000, 1.200000, 0.900000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.300000, 0.100000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 16, 1.000000, 0.400000, 1.300000, 0.200000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 15, 1.000000, 0.400000, 1.300000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 14, 1.000000, 0.400000, 1.300000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 4, 4, 23.809524, 50.000000, 0, 10, 1.000000, 0.400000, 1.300000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 6, 1.000000, 0.400000, 1.300000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 4, 1.000000, 0.400000, 1.300000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 3, 1.000000, 0.400000, 1.300000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 1, 1.000000, 0.400000, 1.300000, 0.900000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.400000, 0.100000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 16, 1.000000, 0.400000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 15, 1.000000, 0.400000, 1.400000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 14, 1.000000, 0.400000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 4, 4, 23.809524, 50.000000, 0, 10, 1.000000, 0.400000, 1.400000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 9, 1.000000, 0.400000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 4, 1.000000, 0.400000, 1.400000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 4, 1.000000, 0.400000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 3, 1.000000, 0.400000, 1.400000, 0.900000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.500000, 0.100000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 16, 1.000000, 0.400000, 1.500000, 0.200000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 15, 1.000000, 0.400000, 1.500000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 14, 1.000000, 0.400000, 1.500000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -1, 13, 1.000000, 0.400000, 1.500000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 10, 1.000000, 0.400000, 1.500000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 4, 1.000000, 0.400000, 1.500000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 4, 1.000000, 0.400000, 1.500000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 3, 1.000000, 0.400000, 1.500000, 0.900000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.600000, 0.100000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 15, 1.000000, 0.400000, 1.600000, 0.300000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 15, 1.000000, 0.400000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, -2, 14, 1.000000, 0.400000, 1.600000, 0.500000
50, 10.000000, 0.250000, 21, 5, 16, 8, 4, 4, 23.809524, 50.000000, 0, 10, 1.000000, 0.400000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 8, 1.000000, 0.400000, 1.600000, 0.700000
50, 10.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 0, 4, 1.000000, 0.400000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 0, 4, 1.000000, 0.400000, 1.600000, 0.900000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.700000, 0.100000
50, 10.000000, 0.250000, 21, 4, 17, 8, 5, 3, 19.047619, 62.500000, -2, 17, 1.000000, 0.400000, 1.700000, 0.200000
